H,H+,He,He+,He+2,C,C+,C+2,C+3,C+4,C+5,N,N+,N+2,N+3,N+4,O,O+,O+2,O+3,O+4,O+5,O+6,O+7,S,S+,S+2,S+3,S+4,S+5,Si,Si+,Si+2,Si+3,Si+4,Mg,Mg+,Mg+2,Ne,Ne+,Ne+2,Ne+3,Ne+4,Ne+5,Ne+6,Ne+7,Ne+8,Fe,Fe+,Fe+2,Na,Na+,Na+2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010376619401165294,0.0,0.0,0.0,0.0,0.0,0.019142297458540975,0.0,0.0,0.0,0.0,0.005537745891300201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019458197306120684,0.0,0.0,0.00741780501443619,0.0,0.0
0.0,0.0,0.00034682241305162106,0.0007073936787300868,0.0,0.0,0.0006471570391271146,0.0,0.0,0.0,0.0,0.0006178802177409888,0.0005991910920257653,0.0,0.0002216351353747407,0.0,0.0,0.000570310762334396,0.0,0.0,0.0,0.0,0.0,0.0,0.000834292770018855,0.00016875586426628325,0.0,0.0,0.0,0.0,0.015800928686840885,0.000314741549976237,0.0,0.0,0.0,0.004934201752841833,0.0,0.0,0.0033612476951444376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018747076144087618,0.00045891698650631085,0.00027600673456432335,0.0040170322165983775,0.0,0.0
0.0,0.0,0.0002765609097747688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006933490492451162,0.0004905844577937926,0.0,0.0,0.0007005646551120203,0.00019971999257041627,0.00035070245702141387,0.0,0.0,0.0,0.0,0.0,0.0,0.0003556179335753116,0.0002194195037608503,0.0,0.0,0.0,0.0,0.013621709978659321,0.0006325670837392305,0.0,0.00013931554273852563,0.0,0.0031598072517576427,0.0,0.0001746108796546895,0.002009296344420184,0.0,0.0,0.0001701293663701879,0.0,0.0,0.0,nan,nan,0.005589471919114131,0.0008442309478180852,0.0,0.006663349799211059,0.0,0.00042973970665967625
0.0,0.0,0.0,0.0,0.0,0.0003000120004800192,0.0,0.0,0.0,0.00011146668985173816,0.0,0.0,0.0,0.0,0.0009512666114932032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.011313126501594257,0.00013749673445255674,0.0,0.0,0.0,0.0024968633154599535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0023369218065963514,0.0,0.0,0.0028936932584495843,0.0,0.0
0.0,0.007039251649335768,0.00014243330204548465,0.004097275626883171,0.004207514621113308,0.00307394577025062,0.001548160166458181,0.007901013918044689,0.06677408584824863,nan,nan,0.00015822684666552743,0.005998108288924262,0.010700028807769867,nan,nan,0.0,0.0072657917442441305,0.008979570715641347,nan,nan,nan,nan,nan,0.0037006837630032775,0.0006458362934163448,0.003959102471469718,0.004743579861131699,0.0,nan,0.010035102789557873,0.0012376421432001466,0.021139733639356145,0.0036774981244759564,0.025721972635655448,0.0026347336942918495,0.0008583322604180079,0.002220988339811216,0.0017749588801192772,0.001728822642966429,0.0029200348457491592,0.005871605262339869,nan,nan,nan,nan,nan,0.0012425927664533089,0.0007773893710142599,0.020335160416685923,0.006482711996258549,0.000644255176590344,0.0022201852903209435
0.04748894494366084,0.009943103353035408,0.04620438785059537,0.026441609557124712,0.04199286121359369,0.016999230987169628,0.046682373821818925,0.021743438965397145,nan,nan,nan,0.04843664947550028,0.0033284918905833938,0.0007480382696378747,nan,nan,0.04673328209069946,0.009212993572582132,0.005415696354403169,nan,nan,nan,nan,nan,0.016268309982885736,0.04420667263242152,0.023929649916940958,0.0,nan,nan,0.024179051824428373,0.04365895638302338,0.0,0.04073705651082374,nan,0.02426395897334666,0.04326840585764694,0.04486207052513071,0.049733373856823145,0.0362515860068878,0.04926780851655655,nan,nan,nan,nan,nan,nan,0.04706287485292852,0.04306854790083898,0.00029679359044562073,0.12914855104388784,0.040921146802509155,0.054733477028892495
